u,v,weight
A1BG,ATP4B,0.1297182738780975
A1BG,BCKDHA,0.1622282266616821
A1BG,CYP1A1,0.1377313733100891
A1BG,GJA4,0.1119511574506759
A1BG,GJB2,0.1370397508144378
A1BG,KIF4A,0.0761204734444618
A1BG,MKI67,0.1184658780694007
A1BG,OPRK1,0.1310282051563263
A1BG,SLC22A11,0.1337636113166809
A1BG,TRIM10,0.1370397508144378
A1BG,UBE2W,0.1491141766309738
A1CF,AVPR1A,0.2434878647327423
A1CF,CALHM3,0.1500312238931656
A1CF,CARD9,0.11528280377388
A1CF,CDX2,0.1496180593967437
A1CF,CLEC4G,0.1493390202522277
A1CF,FABP1,0.1457839459180832
A1CF,FABP2,0.1741205602884292
A1CF,GSTA1,0.1496802270412445
A1CF,NKX2-1,0.1242446601390838
A1CF,PCK1,0.1387866735458374
A1CF,SPINK6,0.1996458321809768
A2M,ACTA2,0.2538507282733917
A2M,CACNA1C,0.2629862129688263
A2M,CSRP1,0.237175852060318
A2M,ITGA5,0.234352096915245
A2M,KCNK3,0.0952576696872711
A2M,LMOD1,0.2383074164390564
A2M,MSRB3,0.2685363292694092
A2M,MYH11,0.2398096024990081
A2M,MYLK,0.2326187491416931
A2M,SORBS1,0.231669470667839
A2M,SPARCL1,0.2338191866874694
A2ML1,ATG9B,0.1731939315795898
A2ML1,CNFN,0.1510961800813675
A2ML1,CRNN,0.1441358625888824
A2ML1,KRT4,0.1465182453393936
A2ML1,KRT78,0.2452990263700485
A2ML1,PADI1,0.1509710252285003
A2ML1,SCEL,0.162550613284111
A2ML1,SP7,0.117488645017147
A2ML1,SPRR2A,0.1550964415073394
A2ML1,SPRR3,0.148196130990982
A2ML1,TMPRSS11B,0.1961103528738021
A4GALT,CAPN8,0.1606481075286865
A4GALT,CLIC6,0.1768677234649658
A4GALT,EFNA5,0.1580907106399536
A4GALT,ELF3,0.1545038968324661
A4GALT,ERBB4,0.1543053537607193
A4GALT,MAP7,0.1612320244312286
A4GALT,MYO5B,0.1586597859859466
A4GALT,POU5F1,0.1621815264225006
A4GALT,PPARG,0.1575778126716613
A4GALT,SRGAP3,0.1539862751960754
A4GNT,ADH7,0.2149621099233627
A4GNT,AKR1C4,0.1201199293136596
A4GNT,CD300LF,0.1207372322678566
A4GNT,CLN3,0.1035229861736297
A4GNT,CYP4A22,0.1034792140126228
A4GNT,HIST1H4B,0.3125197291374206
A4GNT,HOXB6,0.1246711015701294
A4GNT,HOXD13,0.1423323303461074
A4GNT,KIF20A,0.1713192909955978
A4GNT,MNS1,0.0694690346717834
A4GNT,PNP,0.0779121592640876
A4GNT,RPRM,0.1023883000016212
AAAS,CPB2,0.0654906332492828
AAAS,GHRHR,0.0771852061152458
AAAS,GSC,0.098627857863903
AAAS,IL6,0.0677392035722732
AAAS,KLRF2,0.0709687620401382
AAAS,P2RY13,0.0829438939690589
AAAS,PTGIR,0.0916480496525764
AAAS,RBPJL,0.0749386996030807
AAAS,SFTPA2,0.0654232949018478
AAAS,SOX8,0.0729142129421234
AACS,CCNT2,0.0792181342840194
AACS,ERAP1,0.0791704207658767
AACS,GALNT11,0.0757397636771202
AACS,NSD3,0.0755344629287719
AACS,PCF11,0.0747278183698654
AACS,SMG6,0.0747728198766708
AACS,ST3GAL5,0.0756021440029144
AACS,TRIM2,0.0783009529113769
AACS,WNK1,0.080928549170494
AACS,XRN1,0.0763661190867424
AADAC,CDX2,0.1563504636287689
AADAC,CH25H,0.1657516360282898
AADAC,CXCL11,0.1520930528640747
AADAC,EDN3,0.1425136029720306
AADAC,F9,0.1421160250902176
AADAC,GSTA1,0.1749344021081924
AADAC,ISX,0.1461039185523986
AADAC,KLHL17,0.0748641565442085
AADAC,MYL5,0.0855686366558075
AADAC,NDST2,0.1313033550977707
AADAC,ONECUT1,0.1726449877023697
AADAC,PLA2G12B,0.176809549331665
AADAC,PRSS37,0.1423076391220092
AADAC,SKOR2,0.1176810786128044
AADAC,SLC13A2,0.1426242738962173
AADAC,STBD1,0.0880780965089798
AADAC,UGT2A3,0.262965589761734
AADAT,BCAS1,0.1009354591369628
AADAT,CAPN8,0.1016198694705963
AADAT,EHF,0.1003329679369926
AADAT,EPB41L1,0.1048565655946731
AADAT,ESRP1,0.1025440171360969
AADAT,LYPLA1,0.1005163341760635
AADAT,SHROOM1,0.1054433807730674
AADAT,SRGAP3,0.1030489578843116
AADAT,TMEM154,0.1034770682454109
AADAT,ZNF552,0.1082656010985374
AAGAB,ACOXL,0.2508485019207001
AAGAB,ELF3,0.257989764213562
AAGAB,GRHL2,0.2506232857704162
AAGAB,GTF3C1,0.0802151635289192
AAGAB,ICA1,0.2564738094806671
AAGAB,IKZF2,0.2594418823719024
AAGAB,MAP7,0.2516297101974487
AAGAB,POU5F1,0.2643206715583801
AAGAB,RBM47,0.2480198442935943
AAGAB,SHROOM1,0.2686809003353119
AAGAB,SLC25A44,0.0751369372010231
AAGAB,SRGAP3,0.2488676160573959
AAK1,ANK3,0.2447988092899322
AAK1,CARD8,0.1045613884925842
AAK1,CD96,0.2452514171600341
AAK1,CFLAR,0.1340227425098419
AAK1,DOCK8,0.2382527887821197
AAK1,DTNB,0.2514456212520599
AAK1,GRHL2,0.234554648399353
