u,v,weight
A1BG,ACTA1,0.1122465431690216
A1BG,ACTC1,0.1005424708127975
A1BG,CST11,0.1008211225271225
A1BG,IGHG2,0.1023463308811187
A1BG,LSM10,0.0718433484435081
A1BG,MAPK8IP1,0.0609486997127532
A1BG,NACAD,0.1116550415754318
A1BG,NEUROD6,0.1162260696291923
A1BG,SH3BP1,0.0932024121284484
A1BG,STRA8,0.0962751880288124
A1BG,TRH,0.1266227513551712
A1BG,TUBB3,0.1311511993408203
A1BG,ZDHHC22,0.1076209098100662
A1CF,CALN1,0.1589667797088623
A1CF,CDH12,0.1637255549430847
A1CF,CDH18,0.1559703052043914
A1CF,CNTNAP2,0.1666333079338073
A1CF,CTNNA3,0.1598121672868728
A1CF,DLGAP2,0.1605769991874694
A1CF,ERC2,0.1668078601360321
A1CF,GPC6,0.1574593186378479
A1CF,PTPRD,0.1563980281352996
A1CF,RBFOX1,0.1610575467348098
A2M,ADAMTS1,0.146644577383995
A2M,ANO2,0.3004794716835022
A2M,CALCRL,0.3372965157032013
A2M,CASKIN2,0.0902264714241027
A2M,CHST7,0.0918199270963668
A2M,DISP1,0.0816907286643982
A2M,EGFL7,0.3310666978359222
A2M,FBXL7,0.2892142534255981
A2M,FLT1,0.2992599606513977
A2M,GALNT18,0.2922881543636322
A2M,LDB2,0.307630330324173
A2M,MEF2C,0.302394151687622
A2M,NES,0.1044579297304153
A2M,PTPRG,0.3135160505771637
A2M,TCF4,0.3146753013134002
A2M,TMEM173,0.0820358917117118
A2M,TMEM86B,0.067347265779972
A2ML1,AFF3,0.1159896850585937
A2ML1,ANKS1B,0.1220042407512664
A2ML1,CACNA1A,0.1146711558103561
A2ML1,CALN1,0.113675907254219
A2ML1,CNTNAP2,0.120223693549633
A2ML1,DPP10,0.1167913600802421
A2ML1,GPC5,0.1225707903504371
A2ML1,MGAT4C,0.1112555339932441
A2ML1,PTPRD,0.122073121368885
A2ML1,TRPM3,0.1108694523572921
A4GALT,CALD1,0.0811106711626052
A4GALT,COL4A1,0.0819049775600433
A4GALT,COL4A2,0.0880635753273963
A4GALT,EMP1,0.0768368393182754
A4GALT,FLT1,0.0841420665383338
A4GALT,HOXD3,0.0794406309723854
A4GALT,IGFBP7,0.0789868012070655
A4GALT,SHANK3,0.0827899128198623
A4GALT,ZEB1,0.0777512192726135
A4GALT,ZNF521,0.0821540653705596
A4GNT,CAPZA3,0.261765718460083
A4GNT,CBLN3,0.1077445521950721
A4GNT,DNASE1L3,0.0883599668741226
A4GNT,ENPP7,0.1551312506198883
A4GNT,GUCY2D,0.0854923203587532
A4GNT,IL13RA2,0.1044708713889122
A4GNT,NPPB,0.346839427947998
A4GNT,OPN1SW,0.0678637400269508
A4GNT,POU3F2,0.1567329913377761
A4GNT,SERPINB4,0.1671864092350006
A4GNT,SLC5A7,0.065109021961689
A4GNT,ZPBP2,0.0903580412268638
AAAS,CMYA5,0.0771517977118492
AAAS,CNGA1,0.0609715059399604
AAAS,CYB561D2,0.0593574605882167
AAAS,FGFBP1,0.061481773853302
AAAS,FOSB,0.0628756508231163
AAAS,HNRNPH1,0.0753437355160713
AAAS,HSPA1A,0.0629111900925636
AAAS,HSPA1B,0.0625206604599952
AAAS,STAT2,0.0635238140821456
AAAS,TRERF1,0.0600410178303718
AACS,ARHGEF4,0.0684255585074424
AACS,CACNB2,0.0657702088356018
AACS,CUX2,0.0664364919066429
AACS,GREB1L,0.0700600147247314
AACS,KCNQ2,0.0645643174648284
AACS,NOS1,0.0898080542683601
AACS,PARP16,0.0716148391366005
AACS,PLB1,0.064634270966053
AACS,PTPRO,0.0674934461712837
AACS,SLC26A5,0.0675218999385833
AADAC,ELOVL4,0.0878363102674484
AADAC,GRID2,0.0915002971887588
AADAC,IGSF5,0.1016335487365722
AADAC,IL1F10,0.0922982022166252
AADAC,KRT25,0.1007060110569
AADAC,NKX2-1,0.103441372513771
AADAC,SLC7A14,0.0960069596767425
AADAC,SP5,0.1246682405471801
AADAC,TAF7L,0.1067763939499855
AADAC,TCEAL5,0.1103150248527526
AADAC,TRPM3,0.0990410670638084
AADAT,CCDC14,0.0732122212648391
AADAT,CD96,0.0773394629359245
AADAT,DNAH14,0.0751951113343238
AADAT,E2F3,0.0838721022009849
AADAT,GRHL2,0.0809909924864769
AADAT,MMS22L,0.0710653960704803
AADAT,MSI2,0.0723156109452247
AADAT,NRG3,0.0690511986613273
AADAT,TNRC6A,0.0758375078439712
AADAT,ZNF827,0.0781192481517791
AAGAB,EIF4G3,0.0947242826223373
AAGAB,INO80D,-0.1125379428267479
AAGAB,LINGO1,-0.1310820281505584
AAGAB,MAML2,0.0837054178118705
AAGAB,NSF,0.0819992795586586
AAGAB,PPARG,0.08351481705904
AAGAB,REPS1,0.0839665010571479
AAGAB,SLC26A3,-0.1201944127678871
AAGAB,SLC27A6,-0.0813449919223785
AAGAB,TMTC2,0.0811866894364357
AAK1,CMYA5,0.1823347955942154
AAK1,LINGO1,-0.20550636947155
AAK1,LRRC1,0.1849226206541061
AAK1,MAML2,0.1975616514682769
AAK1,NCOA2,0.1814479529857635
AAK1,NT5C2,0.1948320865631103
AAK1,PRKCE,0.1798988729715347
AAK1,PUM2,0.1918422430753708
AAK1,RCC1,0.0811967253684997
AAK1,SLC26A3,-0.1948312819004058
AAK1,SNORC,0.057003729045391
AAK1,STK39,0.1876339763402938
AAK1,TYK2,0.0634568259119987
AAMDC,AHR,0.1736692041158676
AAMDC,BCKDHB,0.1735663414001464
AAMDC,CNGA1,0.1749373823404312
AAMDC,EFNA5,0.1712274998426437
AAMDC,ICA1,0.1792462319135666
AAMDC,KLC4,0.0706174001097679
AAMDC,NRG3,0.1777991503477096
AAMDC,PKHD1,0.1971835941076278
AAMDC,TBC1D1,0.177893728017807
AAMDC,THRB,0.1740665733814239
AAMDC,WASHC2A,0.0577709563076496
AAMDC,ZDHHC13,0.1750498563051223
AAMP,DDTL,0.0670942664146423
AAMP,FXN,0.0532304570078849
AAMP,GPR84,0.056093294173479
AAMP,HTRA3,0.056472435593605
AAMP,LALBA,0.08022341132164
AAMP,MTA2,0.0528802424669265
AAMP,OR2S2,0.058007750660181
AAMP,RPL7,0.0607891529798507
AAMP,SFTPA2,0.0568082742393016
AAMP,SSTR3,0.0534897483885288
AANAT,ADAMTSL1,0.121321253478527
AANAT,ADGRL3,0.1285722255706787
AANAT,ATP6V1G3,0.0985729843378067
AANAT,CALN1,0.119363933801651
AANAT,CNTNAP2,0.1263367086648941
AANAT,CTNNA2,0.1245570704340934
AANAT,EYS,0.1442362070083618
AANAT,GPC5,0.1226328536868095
AANAT,LCE1C,0.118676945567131
AANAT,NRG1,0.1231695339083671
AANAT,PCDH15,0.1223571002483367
AANAT,SNCB,0.1201438009738922
AAR2,FRAS1,0.0518651381134986
AAR2,GFRA4,0.053675927221775
AAR2,IFNA2,0.0551282316446304
AAR2,KRT33A,0.051735408604145
AAR2,MRGPRX1,0.0701287314295768
AAR2,RPA3,0.0581393092870712
AAR2,SMR3B,0.0528371185064315
AAR2,TRPV1,0.0528163276612758
AAR2,XIRP1,0.0626031309366226
AAR2,ZFP42,0.0526724979281425
AARS,ACADL,0.0624264813959598
AARS,EPN2,0.0582948178052902
AARS,GAS2L2,0.0570887438952922
AARS,GOLGA3,0.0660161674022674
AARS,GRK4,0.0638831481337547
AARS,IRF4,0.0591892302036285
AARS,SCN2A,0.0605352558195591
AARS,UGT3A2,0.0626165494322776
AARS,WARS,0.059728305786848
AARS,ZNF114,0.0588521435856819
AARS2,CEP192,0.0684510096907615
AARS2,GEN1,0.0707850754261016
AARS2,IFNA17,0.0929971784353256
AARS2,NR0B1,0.0774285718798637
AARS2,OR4S2,0.068685807287693
AARS2,PPP6R3,0.0706340074539184
AARS2,PTK2,0.0682562589645385
AARS2,SMG1,0.0685082301497459
AARS2,SUZ12,0.0674109384417533
AARS2,TNNT3,0.0710619390010833
AASDHPPT,AR,0.1177580431103706
AASDHPPT,CSMD1,-0.1140800714492797
AASDHPPT,GOLPH3L,0.1178501844406127
AASDHPPT,IKZF2,0.115805871784687
AASDHPPT,LINGO1,-0.1338603496551513
AASDHPPT,MAN1A1,0.1175203546881675
AASDHPPT,PCCA,0.1145688444375991
AASDHPPT,PKHD1,0.1161445751786232
AASDHPPT,PTK2,0.1150636970996856
AASDHPPT,ZDHHC21,0.1197697669267654
AASS,COL6A3,0.0989084094762802
AASS,COL8A1,0.1059919670224189
AASS,CRIM1,0.0939341783523559
AASS,INO80D,-0.1089508980512619
AASS,ITPR1,0.0933956652879715
AASS,LAMC1,0.0929042100906372
AASS,LINGO1,-0.1359620243310928
AASS,PPP6R1,0.0562559776008129
AASS,RBPMS,0.1300819963216781
AASS,SLC26A3,-0.1315652877092361
AASS,TANC1,0.103382259607315
AATF,CD96,0.1509690880775451
AATF,CSMD1,-0.1603067070245742
AATF,INO80D,-0.1567215323448181
AATF,LINGO1,-0.1946146786212921
AATF,LRRC1,0.1596965491771698
AATF,MSI2,0.1699351072311401
AATF,NPAS2,0.1637745648622512
AATF,PRKCA,0.154845580458641
AATF,SLC26A3,-0.1842507123947143
AATF,ZNF254,0.1503157466650009
AATK,CD86,0.1330006569623947
AATK,FMN1,0.1117178350687027
AATK,FMNL2,0.0961717441678047
AATK,FRMD4A,0.0958350524306297
AATK,GAS7,0.101887010037899
AATK,MARCH1,0.0992190688848495
AATK,POU2F2,0.0970298796892166
AATK,RALGAPA2,-0.0967150181531906
AATK,SAMSN1,0.1037483364343643
AATK,SLC9A9,0.1105565950274467
ABAT,ASL,0.0627256482839584
ABAT,CALN1,0.0947369709610939
ABAT,CDH12,0.0916663184762001
ABAT,CRB1,0.0911590382456779
ABAT,DCC,0.0965417996048927
ABAT,MYO16,0.087853230535984
ABAT,NRXN1,0.0910462662577629
ABAT,PRKCB,0.0897718891501426
ABAT,PTPRD,0.1032921820878982
ABAT,RBFOX1,0.0942114815115928
ABAT,RPH3A,0.0904600620269775
ABCA1,AKAP9,0.1183886379003524
ABCA1,BMP2K,0.167279839515686
ABCA1,CREG1,0.0629822760820388
ABCA1,DAPK1,0.160805344581604
ABCA1,DMXL2,0.1694401651620865
ABCA1,FKBP15,0.0784832686185836
ABCA1,LRP1,0.1089552789926529
ABCA1,MANBA,0.1322593986988067
ABCA1,MS4A6A,0.201733112335205
ABCA1,PLA2G7,0.1686733216047287
ABCA1,PLXDC2,0.1590657979249954
ABCA1,SLC38A6,0.1468680202960968
ABCA1,STAB1,0.1578285545110702
ABCA1,SYK,0.1345403045415878
ABCA1,TLR2,0.1583518236875534
ABCA1,TNFRSF14,0.081558458507061
ABCA1,TNS3,0.1803514510393142
ABCA1,VPS35,0.062234591692686
ABCA1,ZEB2,0.168424591422081
ABCA12,ANKS1B,0.2411770820617675
ABCA12,CDH12,0.2353519946336746
ABCA12,CNTNAP2,0.2337965816259384
ABCA12,CTNNA3,0.22577466070652
ABCA12,DRG2,-0.0565332397818565
ABCA12,EYS,0.2255855798721313
ABCA12,GRID2,0.2300496101379394
ABCA12,NRXN1,0.2247211635112762
ABCA12,PCDH15,0.2450754940509796
ABCA12,PTPRD,0.2401473820209503
ABCA12,RAD54L2,0.0812619552016258
ABCA12,RBFOX1,0.2418657541275024
ABCA12,ZNF569,0.0852281153202056
ABCA2,ARHGAP15,0.0846739932894706
ABCA2,CALCA,0.0881339684128761
ABCA2,IKZF1,0.0856672748923301
ABCA2,KRT9,0.0618023909628391
ABCA2,KRTAP4-4,0.08492062240839
ABCA2,OAZ1,0.0781141072511673
ABCA2,PENK,0.0827400311827659
ABCA2,REG3A,0.0862153321504592
ABCA2,SLC7A3,0.0901544317603111
ABCA2,TNFRSF13C,0.0774996355175972
ABCA2,TPSG1,0.1260167062282562
ABCA3,AGXT2,0.1272729784250259
ABCA3,ANAPC5,0.0714269131422042
ABCA3,ANKS1B,0.1945095509290695
ABCA3,ARG2,0.087754301726818
ABCA3,CACNA1A,0.1991991102695465
ABCA3,CALN1,0.1874489784240722
ABCA3,CDH12,0.2030234038829803
ABCA3,CDH18,0.1928869634866714
ABCA3,CEACAM1,0.0728747621178627
ABCA3,CNTNAP2,0.2173139005899429
ABCA3,GPC5,0.1878209114074707
ABCA3,GRID2,0.1907949447631836
ABCA3,PPARA,0.0827864408493042
ABCA3,RBFOX1,0.1899446249008178
ABCA3,ZFP82,0.093705877661705
ABCA3,ZFPM2,0.1977099180221557
ABCA4,CDH12,0.1437475383281707
ABCA4,COL25A1,0.1338641941547393
ABCA4,CTNNA3,0.1377010494470596
ABCA4,DPP10,0.1380113959312439
ABCA4,EYS,0.1369844675064087
ABCA4,GPC5,0.1467057466506958
ABCA4,GPC6,0.1320778727531433
ABCA4,GRID2,0.1595519632101059
ABCA4,NRXN1,0.1358378529548645
ABCA4,NTNG1,0.1337701231241226
ABCA4,TTLL10,0.0577383004128932
ABCA5,ACER2,0.2329481393098831
ABCA5,ACOXL,0.2337531745433807
ABCA5,BCKDHB,0.2213587909936905
ABCA5,CMYA5,0.2250418961048126
ABCA5,CNGA1,0.2429012805223465
ABCA5,ELP1,0.087653063237667
ABCA5,FARP1,0.2177442610263824
ABCA5,LSS,0.1083830818533897
ABCA5,NCOA2,0.2177771478891372
ABCA5,NT5C2,0.2148956656455993
ABCA5,PKHD1,0.2267237305641174
ABCA5,PNMT,0.061495117843151
ABCA5,RALGPS2,0.218461200594902
ABCA5,SNW1,0.0818817615509033
ABCA5,ZNF510,0.0787326544523239
ABCA7,ABCC3,0.100164771080017
ABCA7,BDP1,0.0639439150691032
ABCA7,DNAJB1,0.1012347489595413
ABCA7,F3,0.0882313698530197
ABCA7,FOS,0.0920924022793769
ABCA7,HSP90AA1,0.1185862049460411
ABCA7,HSPA1A,0.1024054735898971
ABCA7,ISYNA1,0.0625289678573608
ABCA7,KIFC2,0.1102195382118225
ABCA7,MBD3,0.0863713920116424
ABCA7,PTDSS2,0.0597443543374538
ABCA7,PTPN18,0.0992214232683181
ABCA7,RBM25,0.0898633301258087
ABCA7,RNF213,0.1015820205211639
ABCA7,VARS2,0.0573169477283954
ABCB1,ABI3,0.1090622693300247
