u,v,weight
A1BG,CCL11,0.0563085675239563
A1BG,CLEC3B,0.0698751583695411
A1BG,CST2,0.0738583952188491
A1BG,MATN3,0.0670494809746742
A1BG,PARL,0.0589637160301208
A1BG,SERPINA6,0.0649484172463417
A1BG,SLC22A17,0.0555332042276859
A1BG,SLC25A47,0.0540854632854461
A1BG,TBX10,0.0623772889375686
A1BG,TMEM252,0.129447728395462
A1CF,COPS5,0.066774696111679
A1CF,FEZF2,0.1197030767798423
A1CF,FOXI2,0.0986032932996749
A1CF,HARBI1,0.0898493900895118
A1CF,KRT25,0.143354520201683
A1CF,LACRT,0.106016106903553
A1CF,LIMK1,0.0490947589278221
A1CF,MAB21L1,0.1197579279541969
A1CF,MSRB2,0.057990051805973
A1CF,PCDH19,0.0507536530494689
A1CF,RAD21L1,0.0961023494601249
A1CF,SHOX2,0.0985558256506919
A1CF,SLC16A12,0.1018428429961204
A1CF,SLC25A18,0.0951522514224052
A1CF,STATH,0.1464820206165313
A1CF,TXNDC2,0.0971234440803527
A2M,ADGRF5,0.2072564512491226
A2M,ANO2,0.196952998638153
A2M,CALCRL,0.1972565650939941
A2M,CXCL12,0.0781523510813713
A2M,EGFL7,0.2006431519985199
A2M,ERG,0.2026306092739105
A2M,FBXL7,0.196609690785408
A2M,FLT1,0.2172714322805404
A2M,GRB10,0.1953944861888885
A2M,LDB2,0.2123271226882934
A2M,NOTCH4,0.1983545273542404
A2M,OAZ2,0.0584558770060539
A2ML1,ADAP2,0.0626289620995521
A2ML1,CACNA1A,0.078744076192379
A2ML1,CLVS1,0.0607894696295261
A2ML1,CYP1B1,0.0628301277756691
A2ML1,EPPIN-WFDC6,0.0670316740870475
A2ML1,FRMPD4,0.0676658377051353
A2ML1,GYPB,0.0720908865332603
A2ML1,LRRTM1,0.0686189755797386
A2ML1,MT1A,0.081319473683834
A2ML1,TCEAL6,0.0632417723536491
A4GALT,CBLC,0.0692181214690208
A4GALT,CMIP,0.0643752515316009
A4GALT,DUOXA1,0.0653575137257576
A4GALT,EIF5,0.061027355492115
A4GALT,ELF4,0.0644899532198906
A4GALT,KAZN,0.062789998948574
A4GALT,LYST,0.0638460740447044
A4GALT,NCOR2,0.064017042517662
A4GALT,PPP1R13L,0.0631537213921547
A4GALT,TMPRSS4,0.0648937001824379
A4GNT,ARG1,0.1191005855798721
A4GNT,BOLA1,0.0904092416167259
A4GNT,C11orf24,0.0574540123343467
A4GNT,C3AR1,0.0895866379141807
A4GNT,CCNJL,0.0563222356140613
A4GNT,CNTFR,0.1075293198227882
A4GNT,COX7B,0.0460644848644733
A4GNT,EPOR,0.0864117071032524
A4GNT,GJC3,0.163778930902481
A4GNT,HAVCR1,0.1111906468868255
A4GNT,HMOX1,0.0764437913894653
A4GNT,IL33,0.063653290271759
A4GNT,MUC5B,0.1835104525089264
A4GNT,MYO15A,0.0929553285241127
A4GNT,NDUFC1,0.0627245083451271
A4GNT,OSM,0.1211519539356231
A4GNT,PLD2,0.045731209218502
A4GNT,PVR,0.050096821039915
A4GNT,SERPINF1,0.0721811950206756
A4GNT,SETMAR,0.0525831952691078
A4GNT,SF3B4,0.0542983897030353
A4GNT,SFTPC,0.2800400555133819
A4GNT,SLC5A7,0.1053393706679344
A4GNT,ST6GALNAC2,0.0609113797545433
A4GNT,SYCE1,0.1309062093496322
A4GNT,TAC3,0.0969992205500602
A4GNT,TNFSF18,0.1132474020123481
A4GNT,TRAPPC3L,0.1640936285257339
A4GNT,VASH2,0.0530635528266429
A4GNT,VWC2L,0.0975813269615173
AAAS,BARX1,0.0592806302011013
AAAS,CCL19,0.0530129596590995
AAAS,CPEB1,0.0577416494488716
AAAS,CTSG,0.0509281419217586
AAAS,FXYD6,0.0538682788610458
AAAS,GNG8,0.0488326959311962
AAAS,IL13,0.0469786413013935
AAAS,SYT1,0.0491780750453472
AAAS,TCEA3,0.0449292957782745
AAAS,ZNF506,0.0448056310415267
AACS,ACSS2,0.0674447417259216
AACS,AP3D1,0.0631366148591041
AACS,FA2H,0.0735070630908012
AACS,HMGCS1,0.0642126053571701
AACS,LARGE1,0.0619178302586078
AACS,MVD,0.0783629193902015
AACS,NDRG1,0.0702544525265693
AACS,PCNT,0.0638763010501861
AACS,SCD,0.0768177360296249
AACS,SLC2A1,0.0638084262609481
AADAC,CCKBR,0.0714614763855934
AADAC,CERS6,0.0569257363677024
AADAC,EXTL1,0.0867964550852775
AADAC,FABP1,0.0605837479233741
AADAC,HRG,0.0606802701950073
AADAC,LEPROT,0.0604160726070404
AADAC,SHPK,0.0999193489551544
AADAC,UBD,0.060220431536436
AADAC,UBE2W,0.0784374922513961
AADAC,VPS33B,0.0889328047633171
AADAT,CEP290,0.0642249807715416
AADAT,KMT2E,0.0649198964238166
AADAT,LINGO1,-0.0761827453970909
AADAT,MED13L,0.0640943199396133
AADAT,NARS,0.0580433756113052
AADAT,NKTR,0.0655295699834823
AADAT,POLA1,0.0663257986307144
AADAT,SRRM2,0.0716417953372001
AADAT,SYNE2,0.0644118562340736
AADAT,USP9Y,0.0740108415484428
AADAT,ZNF160,0.0647537782788276
