u,v,weight
A1BG,ADRA2B,0.1099263876676559
A1BG,B3GALT4,0.0822179019451141
A1BG,C16orf54,0.1606868952512741
A1BG,CAPN6,0.2307177186012268
A1BG,CENPW,0.1048806384205818
A1BG,CPLX2,0.0801223516464233
A1BG,CRABP1,0.1098949462175369
A1BG,DERL3,0.1731206327676773
A1BG,IDH3B,0.0877352058887481
A1BG,IGLC3,0.1209506914019584
A1BG,KLK12,0.1433077007532119
A1BG,OLR1,0.0874096825718879
A1BG,TAC1,0.1196537092328071
A1BG,TCTN2,0.0773500949144363
A1BG,TIA1,0.1008817926049232
A1CF,CABS1,0.0847829803824424
A1CF,CKLF,0.1008735671639442
A1CF,EN1,0.1024200916290283
A1CF,KLK13,0.0880870223045349
A1CF,KRT4,0.0973678082227706
A1CF,KRT6B,0.0898888409137725
A1CF,LRG1,0.1306708604097366
A1CF,LSMEM2,0.0866929814219474
A1CF,MYH2,0.0843309462070465
A1CF,TUBAL3,0.0888277739286422
A2M,ACTA2,0.1643248349428177
A2M,ACTG2,0.1539097726345062
A2M,COL6A2,0.1649147421121597
A2M,FHL1,0.1687853187322616
A2M,FLNA,0.1611799299716949
A2M,FOXF1,0.1027230620384216
A2M,MRVI1,0.1023134067654609
A2M,MYH11,0.1588849425315857
A2M,MYL9,0.1531634181737899
A2M,SMTN,0.1573270112276077
A2M,SPON1,0.0716448500752449
A2M,TAGLN,0.1896562129259109
A2M,TPM1,0.1576486676931381
A2ML1,BDKRB2,0.0985958129167556
A2ML1,FABP7,0.1008787974715232
A2ML1,GTF3C6,0.0775765031576156
A2ML1,HECW2,0.0793634802103042
A2ML1,KCNK16,0.0841318443417549
A2ML1,MSH6,0.0742540583014488
A2ML1,MYL7,0.0835225954651832
A2ML1,OR7G3,0.0885588079690933
A2ML1,OTX1,0.0784367620944976
A2ML1,S100G,0.0782609730958938
A2ML1,SPECC1,0.0718822330236435
A2ML1,WIPF3,0.0859939455986023
A4GALT,ARPC4,0.0674831569194793
A4GALT,CBSL,0.0779830440878868
A4GALT,CMBL,0.0572174787521362
A4GALT,HIST1H4I,0.0617290958762168
A4GALT,NAA10,0.0579643957316875
A4GALT,PRDM13,0.0739519298076629
A4GALT,SCG2,0.0705079808831214
A4GALT,TMED7,0.0654181540012359
A4GALT,TSPYL6,0.074103906750679
A4GALT,VTN,0.0576814152300357
A4GNT,ABLIM2,0.0735869482159614
A4GNT,ADORA1,0.1277689188718795
A4GNT,AGTRAP,0.116113543510437
A4GNT,ARL6,0.0893404930830001
A4GNT,AVIL,0.0907238200306892
A4GNT,AZIN2,0.1127908825874328
A4GNT,BHLHB9,0.0685863271355629
A4GNT,BPNT1,0.1073387712240219
A4GNT,C6orf203,0.0683392807841301
A4GNT,CACNA1B,0.0733527243137359
A4GNT,CD160,0.1362864226102829
A4GNT,CD37,0.129130482673645
A4GNT,CENPE,0.1018284484744072
A4GNT,CHRNA5,0.0927809253334999
A4GNT,CHRNA7,0.0587294101715087
A4GNT,CHST12,0.0849425718188285
A4GNT,COA6,0.1223084032535553
A4GNT,CRB1,0.0762181058526039
A4GNT,CRLF3,0.0578333809971809
A4GNT,CYP4V2,0.0921957418322563
A4GNT,DCAF13,0.0644124075770378
A4GNT,DLST,0.0555071681737899
A4GNT,DUPD1,0.1082346513867378
A4GNT,ESM1,0.0993385016918182
A4GNT,ETV2,0.3478899598121643
A4GNT,F9,0.1941847950220108
A4GNT,FAM110A,0.0735419392585754
A4GNT,GAPDHS,0.1511748731136322
A4GNT,GPD1L,0.0699431970715522
