u,v,weight
A1BG,ADORA2A,0.0637117475271225
A1BG,CD79B,0.0479380562901496
A1BG,CORO1A,0.0385681167244911
A1BG,HIST3H3,0.0591539181768894
A1BG,LHX1,0.0378178246319294
A1BG,PSMA6,0.0450248531997203
A1BG,SLC10A4,0.0348104089498519
A1BG,SNCB,0.035233587026596
A1BG,ZNF23,0.0403286330401897
A1BG,ZNF559,0.0473568998277187
A1CF,BRF1,0.0355084538459777
A1CF,CD46,-0.0627138614654541
A1CF,CNTNAP2,0.0630875378847122
A1CF,CTNNA3,0.0660536736249923
A1CF,DLG2,0.0649720206856727
A1CF,DPP10,0.0680383443832397
A1CF,EGFLAM,0.0632339343428611
A1CF,GPC5,0.0627989768981933
A1CF,NEGR1,0.0595771558582782
A1CF,PCDH15,0.0702785700559616
A1CF,RHEX,-0.0593034699559211
A2M,APCDD1,0.1218347549438476
A2M,CALCRL,0.1078033670783042
A2M,CAV1,0.0482723079621791
A2M,CCDC181,0.0479060523211956
A2M,COL4A1,0.1079994589090347
A2M,EGFL7,0.1463018804788589
A2M,EVA1B,0.0428896136581897
A2M,FJX1,0.0557540990412235
A2M,FLI1,0.1080038771033287
A2M,FLT1,0.1331795901060104
A2M,GPR17,0.035655029118061
A2M,GRB10,0.1190375238656997
A2M,IGFBP7,0.1037633866071701
A2M,MACF1,0.0533144883811473
A2M,MRPS35,0.035781018435955
A2M,PCDH17,0.1070692390203476
A2M,PTPRG,0.1105441302061081
A2M,SPP1,0.0509719550609588
A2ML1,CALN1,0.0814022943377494
A2ML1,CD46,-0.0820311605930328
A2ML1,DAPK1,-0.0781885758042335
A2ML1,DLG2,0.0830678567290306
A2ML1,ELF3,-0.0793388336896896
A2ML1,GATA3,-0.0802415385842323
A2ML1,IL1RAPL1,0.0789135843515396
A2ML1,NRXN3,0.092173732817173
A2ML1,RALGAPA2,-0.0823860764503479
A2ML1,RBFOX1,0.0802253931760788
A2ML1,RPL26L1,0.0448810495436191
A4GALT,ALDH1A3,0.0508461594581604
A4GALT,ATP8B1,0.0596525259315967
A4GALT,CMIP,0.0501861758530139
