u,v,weight
A1BG,ASGR2,0.0899114683270454
A1BG,FNIP1,0.0975605100393295
A1BG,HAUS3,0.0892013609409332
A1BG,HGFAC,0.1064518243074417
A1BG,HIST1H2BO,0.0775147974491119
A1BG,LCE1E,0.1373232305049896
A1BG,NAP1L2,0.0778683796525001
A1BG,PRSS2,0.0953896567225456
A1BG,SFTPC,0.0945517122745513
A1BG,SLC34A2,0.1007352322340011
A1BG,TCL1A,0.1835263073444366
A1BG,TMEM35A,0.0994827151298523
A1CF,AVPR1B,0.1659763157367706
A1CF,CACNA1G,0.1336261332035064
A1CF,CNDP1,0.1063529774546623
A1CF,CXorf66,0.1328728795051574
A1CF,DUPD1,0.1253256648778915
A1CF,KCNA1,0.1269753128290176
A1CF,KIF1BP,0.0782902687788009
A1CF,MAGEA1,0.1665729582309723
A1CF,MIF,0.1553487479686737
A1CF,MYH4,0.1390306651592254
A1CF,POLR2E,0.067017413675785
A1CF,PTAFR,0.0646000728011131
A1CF,PTPRN2,0.1082232072949409
A1CF,RASGRP2,0.0906914919614791
A1CF,SCGB1A1,0.1226717084646225
A1CF,SULT1C3,0.1501979827880859
A1CF,SVOP,0.1189898923039436
A1CF,VAMP4,0.0590898804366588
A2M,ADGRF5,0.2453504204750061
A2M,ANGPT2,0.2291152328252792
A2M,CACNA1C,0.232700377702713
A2M,CALCRL,0.2274233698844909
A2M,ERG,0.2263413965702057
A2M,FLT1,0.2607622146606445
A2M,FMNL3,0.1205521523952484
A2M,ITGA1,0.2289429455995559
A2M,LDB2,0.2314615398645401
A2M,NOSTRIN,0.2436118721961975
A2M,NOTCH4,0.2287056148052215
A2M,PLA2G4C,0.0892146304249763
A2M,STOM,0.1468901187181472
A2M,WNT2B,0.0788639411330223
A2ML1,AVPR2,0.0806711241602897
A2ML1,DOCK3,0.0723854824900627
A2ML1,FABP2,0.0754048898816108
A2ML1,FRMPD4,0.0758513808250427
A2ML1,P2RY13,0.0697610080242157
A2ML1,PRUNE2,0.0697252228856086
A2ML1,SEMA6D,0.0831660777330398
A2ML1,SERPINB12,0.0698518902063369
A2ML1,SLC6A5,0.0791404768824577
A2ML1,ZBTB25,0.0567194037139415
A2ML1,ZNF208,0.0698847323656082
A4GALT,AGAP1,0.0706912279129028
A4GALT,EHMT1,0.0686390548944473
A4GALT,MYH14,0.0686421766877174
A4GALT,SCMH1,0.0697557628154754
A4GALT,SLC23A2,0.0691341236233711
A4GALT,SRRM2,0.0693825706839561
A4GALT,SSBP3,0.0719477236270904
A4GALT,TCF25,0.0747581794857978
A4GALT,TUFT1,0.0718443319201469
A4GALT,TXNDC2,0.0755151584744453
A4GNT,AIMP2,0.087364561855793
A4GNT,APOBEC3F,0.0980753079056739
A4GNT,ARCN1,0.0515925586223602
A4GNT,BAX,0.0616491883993148
A4GNT,BCL2L10,0.5958854556083679
A4GNT,BRMS1,0.0634005591273307
A4GNT,CDON,0.1085933297872543
A4GNT,COQ6,0.0935115218162536
A4GNT,COQ8A,0.0628496408462524
A4GNT,COQ9,0.0633215904235839
A4GNT,CREB3,0.078339897096157
A4GNT,CRH,0.0885731726884841
A4GNT,CTSS,0.0580797418951988
A4GNT,CXCL1,0.0650769919157028
A4GNT,DNAJC19,0.1059261783957481
A4GNT,EIF1AD,0.0867586433887481
A4GNT,EIF1AY,0.0725233778357505
A4GNT,EIF2B4,0.0496969334781169
A4GNT,EXOSC9,0.0716964155435562
A4GNT,FAHD1,0.1123913303017616
A4GNT,FANCF,0.2127004116773605
A4GNT,FGFRL1,0.199422612786293
A4GNT,GCNT1,0.0796824246644973
A4GNT,GZF1,0.0717855468392372
A4GNT,HSCB,0.0585669018328189
A4GNT,HVCN1,0.1452577859163284
A4GNT,IL2RB,0.218668982386589
A4GNT,IMPA1,0.0586955696344375
A4GNT,ITM2C,0.0836691632866859
A4GNT,LRRC24,0.0630180463194847
A4GNT,MAPK11,0.1539753228425979
A4GNT,MCUR1,0.0656024664640426
A4GNT,MKRN3,0.0721254646778106
A4GNT,MS4A1,0.1272514015436172
A4GNT,MSTO1,0.0648673623800277
A4GNT,MTRF1L,0.0658760741353035
A4GNT,MUS81,0.0657558739185333
A4GNT,MYLPF,0.1042143329977989
A4GNT,MYPN,0.1557133346796035
A4GNT,OLFM3,0.1718511432409286
A4GNT,PAK6,0.1041375249624252
A4GNT,PCBP3,0.0973419100046157
A4GNT,PDK4,0.1127998605370521
A4GNT,PLG,0.228179395198822
A4GNT,PPFIA4,0.0791565775871276
A4GNT,PPT1,0.0838928595185279
A4GNT,PSMB9,0.0701881274580955
A4GNT,RAB8A,0.0934245362877845
A4GNT,RBM38,0.1597359925508499
A4GNT,RSAD2,0.0696204677224159
A4GNT,SCAMP2,0.0551474578678607
