u,v,weight
A1BG,NACA,0.4374928176403045
A1BG,RPL19,0.4410057067871094
A1BG,RPL29,0.4344422221183777
A1BG,RPL32,0.4358261227607727
A1BG,RPL39,0.4332201182842254
A1BG,RPL41,0.4296465814113617
A1BG,RPL8,0.4373190104961395
A1BG,RPS15,0.4296764433383941
A1BG,RPS23,0.4424876868724823
A1BG,RPS4X,0.4293245375156402
A2M,ADAMTS1,0.5161082148551941
A2M,ADGRF5,0.6025316119194031
A2M,AIF1L,0.2387655079364776
A2M,ANGPT2,0.5292163491249084
A2M,APOLD1,0.4465381801128387
A2M,AQP1,0.6209527254104614
A2M,ASAP2,0.2359860986471176
A2M,BTNL9,0.3288226127624511
A2M,CAV2,0.4506794512271881
A2M,CD34,0.5909697413444519
A2M,CD40,0.2910455167293548
A2M,CD93,0.6279311776161194
A2M,CDH5,0.5641539096832275
A2M,CLDN5,0.5287362337112427
A2M,CLEC14A,0.6027128100395203
A2M,CLIC5,0.2441758662462234
A2M,CNTLN,0.1877671331167221
A2M,DCHS1,0.3927463293075561
A2M,DENND5A,0.2475762218236923
A2M,DIAPH2,0.2694778144359588
A2M,DLL4,0.4260798394680023
A2M,DPYSL2,0.3638989329338074
A2M,EDNRB,0.3280822038650512
A2M,EFNB2,0.5932555198669434
A2M,EGFL8,0.2484948933124542
A2M,ELMO1,0.2845196723937988
A2M,ENPP2,0.2598272860050201
A2M,EOGT,0.2379793226718902
A2M,EPAS1,0.4492747187614441
A2M,ESAM,0.6121699810028076
A2M,FBXL7,0.254299908876419
A2M,FES,0.2084933966398239
A2M,FLT1,0.5999367833137512
A2M,FRMD4A,0.1824798285961151
A2M,FURIN,0.1992466151714325
A2M,FZD6,0.2266136854887008
A2M,GIMAP4,0.3210236728191376
A2M,GJA4,0.500442624092102
A2M,HEG1,0.5228449106216431
A2M,HEY1,0.4805673658847809
A2M,HHEX,0.3808063864707947
A2M,HLA-F,0.2227372527122497
A2M,HS3ST1,0.2198605090379715
A2M,IFI27,0.5223471522331238
A2M,IFITM1,0.4214963316917419
A2M,IFITM3,0.4872745275497436
A2M,IGFBP3,0.4600195288658142
A2M,IGFBP7,0.6616007685661316
A2M,IKBIP,0.1498409807682037
A2M,IL18BP,0.2030289769172668
A2M,IL3RA,0.3957954347133636
A2M,ITPRIP,0.4337424337863922
A2M,JAG1,0.4927381575107574
A2M,JAG2,0.4307716786861419
A2M,KCNN3,0.4051365256309509
A2M,KCTD12,0.415856659412384
A2M,KIF26A,0.2908760011196136
A2M,KL,0.2802316844463348
A2M,LIMS2,0.4489918947219848
A2M,LMO2,0.4860608279705047
A2M,LPAR6,0.2523889243602752
A2M,LRRC8C,0.271474152803421
A2M,MEF2A,0.2008492797613144
A2M,MEF2C,0.4258246123790741
A2M,MYO1E,0.3058813214302063
A2M,NOTCH1,0.2986265122890472
A2M,NRAS,0.2217014282941818
A2M,NRN1,0.3058436214923858
A2M,P3H2,0.1962299197912216
A2M,PECAM1,0.5932371616363525
A2M,PELI1,0.2597803473472595
A2M,PHC2,0.1522856205701828
A2M,PICALM,0.1993505209684372
A2M,PLA1A,0.1650707125663757
A2M,PLPP1,0.5567888617515564
A2M,PNP,0.3566451072692871
A2M,PODXL,0.5691388845443726
A2M,PPP1R18,0.16004578769207
A2M,PRDM1,0.3111125230789184
A2M,PREX1,0.1709002554416656
A2M,PRKACB,0.1571334600448608
A2M,PTP4A3,0.3719627857208252
A2M,PTPRB,0.5569057464599609
A2M,RAMP2,0.6355331540107727
A2M,RAPGEF1,0.225905954837799
A2M,RBP7,0.511594295501709
A2M,RDX,0.3841187059879303
A2M,RELL1,0.2515648007392883
A2M,RFTN1,0.2979141175746918
A2M,RFTN2,0.2739388644695282
A2M,RPGR,0.1488442420959472
A2M,RPS6KA3,0.314083844423294
A2M,SAT1,0.3097736537456512
A2M,SCIN,0.290112555027008
A2M,SCML1,0.1514619141817093
A2M,SLC12A6,0.1687975376844406
A2M,SLC2A3,0.3941001296043396
A2M,SLC35G2,0.330113798379898
A2M,SLC45A4,0.1828386634588241
A2M,SOS1,0.1784990280866623
A2M,SOX17,0.4292323291301727
A2M,SPESP1,0.2199195325374603
A2M,SPOCK2,0.2071058899164199
A2M,SPTAN1,0.2219215035438537
A2M,SSH1,0.199777603149414
A2M,ST6GALNAC3,0.3704237043857574
A2M,STARD13,0.188254714012146
A2M,STARD8,0.2542078793048858
A2M,STIM2,0.1764543652534485
A2M,STOM,0.4431831836700439
A2M,TBC1D1,0.3733345866203308
A2M,THBD,0.3073864281177521
A2M,THSD7A,0.5152640342712402
A2M,TMEM47,0.3631146252155304
A2M,TMEM88,0.1618880927562713
A2M,TOX2,0.2342483103275299
A2M,TRPV2,0.1947327107191085
A2M,UACA,0.3999561667442322
A2M,UTRN,0.3900278508663177
A2M,VASH1,0.2438904345035553
A2M,VEGFC,0.4532338976860046
A2M,ZNF518B,0.1564213782548904
A2ML1,AP4B1,0.1034535467624664
A2ML1,ARG2,0.1327170878648758
A2ML1,BEX2,0.1096968129277229
A2ML1,DDX28,0.1077019199728965
A2ML1,GALNT4,0.1920476108789444
A2ML1,GDF9,0.1233836263418197
A2ML1,KNTC1,0.101246029138565
A2ML1,KPNA7,0.1791709512472152
A2ML1,PRUNE2,0.2232842147350311
A2ML1,SZT2,0.0915364399552345
A2ML1,ZNF575,0.1354820877313614
A4GALT,CARD6,0.2053830623626709
A4GALT,CLEC14A,0.3627964556217193
A4GALT,FLT1,0.3218346834182739
A4GALT,GNG11,0.3142285645008087
A4GALT,HSPG2,0.2939534783363342
A4GALT,IGFBP7,0.3508658409118652
A4GALT,NRP1,0.2934560775756836
A4GALT,PLVAP,0.3614456355571747
A4GALT,RAMP2,0.3234829604625702
A4GALT,RAMP3,0.3132017850875854
A4GALT,RUSC2,0.1584424525499344
A4GALT,TMEM255B,0.3047806620597839
AAAS,RPL18,0.1520954072475433
AAAS,RPL19,0.1531572937965393
AAAS,RPL29,0.1544691622257232
AAAS,RPL37,0.1522789597511291
AAAS,RPLP1,0.1526334285736084
AAAS,RPS15,0.1563162058591842
AAAS,RPS18,0.1546998620033264
AAAS,RPS23,0.1557876169681549
AAAS,RPS28,0.1540759950876236
AAAS,RPS8,0.1583821773529052
AACS,ACTG1,0.1727523058652877
AACS,ALDOA,0.1687357872724533
AACS,CD24,0.1679048091173172
AACS,CHCHD2,0.1791033148765564
AACS,H3F3A,0.1684463769197464
AACS,LY6E,0.1672374904155731
AACS,RPL15,0.167707160115242
AACS,RPL24,0.1672122478485107
AACS,RPL9,0.1723337918519973
AACS,SPINT2,0.1774063408374786
AADAT,ASGR2,0.3160508573055267
AADAT,BCL2L15,0.446997195482254
AADAT,CENPV,0.1425712555646896
AADAT,COL26A1,0.2825070023536682
AADAT,CSDC2,0.2231892794370651
AADAT,DCLK1,0.2259446233510971
AADAT,EDN3,0.6325320601463318
AADAT,FBXO31,0.1175552532076835
AADAT,FERMT1,0.2574486434459686
AADAT,FGFBP1,0.5061026215553284
AADAT,FGFR2,0.2333732545375824
AADAT,GPR52,0.2231888025999069
AADAT,HECW1,0.2231892794370651
AADAT,HIPK2,0.1934240758419037
AADAT,HIVEP2,0.1883173733949661
AADAT,HSPA4L,0.2409859895706176
AADAT,KIF1A,0.1819949448108673
AADAT,LOXL4,0.282192051410675
AADAT,LY6D,0.4556426703929901
AADAT,NTRK2,0.3012877404689789
AADAT,PABPC5,0.1677212417125702
AADAT,POU6F2,0.3160473704338074
AADAT,PSAT1,0.364750474691391
AADAT,RGS6,0.3647505342960357
AADAT,RSPO1,0.282192051410675
AADAT,SACS,0.4142492413520813
AADAT,TMEM213,0.167900264263153
AADAT,WWOX,0.1083036586642265
AADAT,ZNF225,0.0990572571754455
