u,v,weight
A1BG,COX5B,0.1588675379753112
A1BG,GABARAP,0.1726437509059906
A1BG,H3F3A,0.159535214304924
A1BG,HIGD2A,0.1607570350170135
A1BG,PFDN5,0.1758114993572235
A1BG,PNRC1,0.1615156829357147
A1BG,RAB31,0.1815106570720672
A1BG,SERF2,0.1826273947954177
A1BG,SH3BGRL,0.1882107555866241
A1BG,TPT1,0.1869423985481262
A1CF,ALDH1L1,0.2716208398342132
A1CF,BDNF,0.1337567269802093
A1CF,CGN,0.408069759607315
A1CF,DKK1,0.1373614817857742
A1CF,DRD2,0.1660575717687606
A1CF,FOSL1,0.1335408985614776
A1CF,GCG,0.4998413026332855
A1CF,NPAS3,0.2126510441303253
A1CF,SOX2,0.3138677775859833
A1CF,TSPAN10,0.1471457630395889
A2M,ACE,0.2620523869991302
A2M,ADARB1,0.27986541390419
A2M,ADGRF5,0.6862010955810547
A2M,AFF3,0.3122512996196747
A2M,AIF1L,0.6383480429649353
A2M,ALS2CL,0.2040887922048568
A2M,ASRGL1,0.3249712586402893
A2M,CD34,0.6645054221153259
A2M,CD93,0.4507462680339813
A2M,CDH5,0.7459943890571594
A2M,CHSY1,0.277458906173706
A2M,CLEC14A,0.685076892375946
A2M,CLIC5,0.4051602184772491
A2M,CTSF,0.3578163087368011
A2M,DEPTOR,0.2362484633922577
A2M,EDN1,0.3618386089801788
A2M,ELMO1,0.3022249937057495
A2M,ESAM,0.6955835223197937
A2M,F11R,0.397018551826477
A2M,FURIN,0.2515653073787689
A2M,GIMAP1,0.2229581177234649
A2M,GPRC5B,0.588138997554779
A2M,HEG1,0.5333483815193176
A2M,HEY1,0.5506452918052673
A2M,HIST2H2BE,0.1559340357780456
A2M,HOXD3,0.4535149931907654
A2M,ITGA9,0.3386631906032562
A2M,JAG2,0.6705800890922546
A2M,KLF11,0.1560457348823547
A2M,KLHL9,0.1829154789447784
A2M,LEPR,0.337793231010437
A2M,LRRC4,0.1407923698425293
A2M,MEF2C,0.3863597512245178
A2M,MIDN,0.3775146603584289
A2M,MYLIP,0.3717886209487915
A2M,NEBL,0.4136788249015808
A2M,NUAK1,0.5732502937316895
A2M,OAZ3,0.3140287697315216
A2M,PCMTD2,0.1820746213197708
A2M,PELI1,0.2445415407419204
A2M,PIK3C2A,0.4143369197845459
A2M,PLCG2,0.305941641330719
A2M,PLPP1,0.5724801421165466
A2M,PTPRB,0.6839292049407959
A2M,RAMP2,0.7179546356201172
A2M,RCAN1,0.303881824016571
A2M,RIMKLB,0.3405136168003082
A2M,SCGB3A1,0.3730640113353729
A2M,SMAD9,0.4578717052936554
A2M,SOS1,0.2801835834980011
A2M,SOX13,0.3575149774551391
A2M,SOX17,0.6287115812301636
A2M,STOM,0.6140655279159546
A2M,SWAP70,0.4840162694454193
A2M,TCF4,0.6669789552688599
A2M,THSD7A,0.6850653290748596
A2M,UTRN,0.4681459367275238
A2M,YPEL2,0.2829791009426117
A2M,YPEL3,0.3320373892784118
A2M,ZBTB18,0.1783882826566696
A2M,ZNF641,0.1359216570854187
A4GALT,C1S,0.5592786073684692
A4GALT,CHPF,0.5369078516960144
A4GALT,CRIP2,0.5149177312850952
A4GALT,IFITM3,0.5237282514572144
A4GALT,NNMT,0.5391665101051331
A4GALT,PPIC,0.5527377724647522
A4GALT,PRDX5,0.5180783271789551
A4GALT,PRSS23,0.5246886014938354
A4GALT,RABAC1,0.5165020227432251
A4GALT,SPARC,0.5203850269317627
A4GALT,ZNF354A,0.239025667309761
A4GNT,BAMBI,0.1783052682876587
A4GNT,COL4A4,0.3533003032207489
A4GNT,IGSF10,0.1955004036426544
A4GNT,ITGAD,0.1601518243551254
A4GNT,KHDRBS2,0.2558555603027344
A4GNT,RAB17,0.223093181848526
A4GNT,RBP4,0.2101810276508331
A4GNT,TCHH,0.2458154708147049
A4GNT,TDG,0.1920985132455825
A4GNT,UTF1,0.110687144100666
A4GNT,ZNF491,0.1434612721204757
AAAS,CCT6A,0.4775185585021972
AAAS,CYC1,0.4728302657604217
AAAS,ENO1,0.4967562854290008
AAAS,HNRNPF,0.4704245626926422
AAAS,HSP90AB1,0.4807283580303192
AAAS,LDHB,0.4884353876113891
AAAS,NPM1,0.4827495813369751
AAAS,PPIA,0.4747465252876282
AAAS,RAN,0.4772137105464935
