u,v,weight
A1BG,GET4,0.1386406868696212
A1BG,GPX4,0.6540432572364807
A1BG,INHA,0.1802820116281509
A1BG,MCIDAS,0.1334007382392883
A1BG,MZT2B,0.6573028564453125
A1BG,NDUFA4,0.6411002278327942
A1BG,RASL10B,0.2205566167831421
A1BG,RPL28,0.6602328419685364
A1BG,RPS15,0.6427091956138611
A1BG,RPS16,0.6590324640274048
A1BG,RPS4X,0.6531156897544861
A1BG,SLC25A6,0.6537880897521973
A1BG,TOMM7,0.6473464369773865
A1BG,UQCR11,0.6600451469421387
A2M,A4GALT,0.5810339450836182
A2M,ABCA1,0.3246530890464782
A2M,ABCB1,0.5067854523658752
A2M,ABL2,0.5872757434844971
A2M,ACACB,0.5903035402297974
A2M,ACE,0.6501942873001099
A2M,ACER3,0.4322229921817779
A2M,ACR,0.3394030332565307
A2M,ACVRL1,0.7021666169166565
A2M,ADAMTS1,0.6623231172561646
A2M,ADARB1,0.4478467106819153
A2M,ADCYAP1R1,0.389561116695404
A2M,ADGRF5,0.8070293068885803
A2M,AFAP1L2,0.4310302436351776
A2M,AGTPBP1,0.3393208384513855
A2M,AKR1B1,0.5278136730194092
A2M,ALPL,0.4066171050071716
A2M,AMOTL1,0.4957960546016693
A2M,AP1S2,0.6337040066719055
A2M,AQP7,0.5578575730323792
A2M,ARAP3,0.5915852785110474
A2M,ARHGAP17,0.5208328366279602
A2M,ARHGAP29,0.6777133941650391
A2M,ARHGAP31,0.6121843457221985
A2M,ARHGEF2,0.5235170722007751
A2M,ASAP2,0.5195245146751404
A2M,ATOH8,0.4429762959480285
A2M,ATP11A,0.4944168925285339
A2M,ATP11C,0.5101189017295837
A2M,ATP2B4,0.6385184526443481
A2M,ATP8A1,0.4837287664413452
A2M,BTNL9,0.5863295793533325
A2M,CAMK1D,0.534958004951477
A2M,CARD8,0.5321319103240967
A2M,CASKIN2,0.6582695245742798
A2M,CAV1,0.800116777420044
A2M,CAV2,0.7030501365661621
A2M,CBX2,0.3464049696922302
A2M,CCND2,0.460385262966156
A2M,CD200,0.6551626324653625
A2M,CD207,0.1998888552188873
A2M,CD58,0.481834352016449
A2M,CD93,0.8139747381210327
A2M,CD99L2,0.356933057308197
A2M,CDA,0.4231540262699127
A2M,CDH13,0.7271568179130554
A2M,CDH24,0.4456363916397095
A2M,CDH5,0.8351899981498718
A2M,CEP68,0.613084077835083
A2M,CEP85L,0.4925965666770935
A2M,CFH,0.4627086222171783
A2M,CHN1,0.5089576840400696
A2M,CHRM3,0.4511260092258453
A2M,CLCN5,0.2200204879045486
A2M,CLEC14A,0.8639009594917297
A2M,CLEC1A,0.4553448259830475
A2M,CLEC3B,0.3947456777095794
A2M,CLIC4,0.7029897570610046
A2M,CLIC5,0.6507733464241028
A2M,CSGALNACT1,0.5930926203727722
A2M,CTTNBP2NL,0.5523278713226318
A2M,CUBN,0.5160744190216064
A2M,CXCL12,0.5674712061882019
A2M,CYB5R3,0.7414218783378601
A2M,CYTH3,0.4536905586719513
A2M,DCLK2,0.3707565069198608
A2M,DGKE,0.4591120779514313
A2M,DHRS3,0.4730824530124664
A2M,DIAPH2,0.5159289836883545
A2M,DLL4,0.6989364624023438
A2M,DOCK6,0.5463702082633972
A2M,DPY19L1,0.337853193283081
A2M,DUSP6,0.6107730269432068
A2M,EBF1,0.6134381890296936
A2M,EBF3,0.5106567144393921
A2M,ECE1,0.6181285977363586
A2M,EFNB2,0.7154553532600403
A2M,EHD2,0.6791354417800903
A2M,EID3,0.1951458752155304
A2M,ELMO1,0.6150458455085754
A2M,EMCN,0.7870429158210754
A2M,EOGT,0.4234299659729004
A2M,EPAS1,0.7620919346809387
A2M,EPHA4,0.4950539469718933
A2M,ESAM,0.8573462963104248
A2M,EXTL3,0.2918695509433746
A2M,F8,0.481135755777359
A2M,FADS3,0.4930139780044555
A2M,FAT4,0.4712592661380768
A2M,FBXL7,0.5219284296035767
A2M,FES,0.4741190373897552
A2M,FGD4,0.4927017092704773
A2M,FGD5,0.6245921850204468
A2M,FGF12,0.4007030427455902
A2M,FILIP1L,0.4864407777786255
A2M,FLT1,0.8003188371658325
A2M,FMNL3,0.5670281052589417
A2M,FOXN2,0.4180292785167694
A2M,FYN,0.6613407731056213
A2M,GALNT18,0.521689772605896
A2M,GATA2,0.6143014430999756
A2M,GBP4,0.5126824975013733
A2M,GBP7,0.3061755895614624
A2M,GIMAP1,0.7339112758636475
A2M,GIMAP8,0.6160584092140198
A2M,GINS3,0.2690495550632477
A2M,GJA4,0.7078774571418762
A2M,GNAO1,0.1991821676492691
A2M,GNB4,0.4615324139595032
A2M,GNG11,0.8102266788482666
A2M,GPIHBP1,0.5711185932159424
A2M,GPRC5B,0.5335357785224915
A2M,GRASP,0.4678756296634674
A2M,GRK5,0.6139353513717651
A2M,GSN,0.6041619777679443
A2M,HABP4,0.4730241894721985
A2M,HBEGF,0.5977990627288818
A2M,HEG1,0.743243396282196
A2M,HIP1,0.5612522959709167
A2M,HLX,0.5219870209693909
A2M,HOXD10,0.4417327642440796
A2M,HOXD3,0.3408781886100769
A2M,HOXD4,0.3614924252033233
A2M,HOXD8,0.6049862504005432
A2M,HOXD9,0.5952865481376648
A2M,HSPA1A,0.5917222499847412
A2M,HVCN1,0.3502382934093475
A2M,ICAM2,0.7856549620628357
A2M,ID1,0.714773416519165
A2M,ID3,0.7311529517173767
A2M,IFFO1,0.3258365392684936
A2M,IFI16,0.6726086139678955
A2M,IGFBP7,0.7036533951759338
A2M,IL18BP,0.3587725758552551
A2M,IL3RA,0.6266225576400757
A2M,INPP5D,0.3708813190460205
A2M,ITGA1,0.6547941565513611
A2M,ITGA5,0.6369601488113403
A2M,ITGA9,0.5403414368629456
A2M,ITGB1,0.728545069694519
A2M,ITGB3,0.2418785542249679
A2M,JAG2,0.6523188352584839
A2M,JAM2,0.7895731925964355
A2M,JAM3,0.4312038123607635
A2M,JAZF1,0.3425095975399017
A2M,KCNN2,0.2933842539787292
A2M,KCTD15,0.3838652968406677
A2M,KDR,0.6627721190452576
A2M,KIF17,0.4704351723194122
A2M,KIF26A,0.4964431822299957
A2M,KL,0.3378192484378814
A2M,KLF2,0.5891673564910889
A2M,KLRG1,0.3111643195152282
A2M,KSR1,0.4402728080749511
A2M,LAMB1,0.5308640003204346
A2M,LAMC1,0.6162564158439636
A2M,LAP3,0.7076505422592163
A2M,LCAT,0.2452833205461502
A2M,LDB2,0.7224096655845642
A2M,LEPR,0.6553056240081787
A2M,LIMS2,0.6643024682998657
A2M,LMCD1,0.7478076219558716
A2M,LPCAT2,0.6822357177734375
A2M,MAP4K4,0.6562985777854919
A2M,MEF2C,0.7691483497619629
A2M,MERTK,0.2879491746425628
A2M,MEX3B,0.2453624904155731
A2M,MGAT3,0.4548802375793457
A2M,MGLL,0.7279990315437317
A2M,MSX1,0.7086964845657349
A2M,MTUS1,0.694939911365509
A2M,MVB12B,0.3004521429538727
A2M,MX2,0.3355647623538971
A2M,MXRA7,0.3188533186912536
A2M,MYH9,0.7136842012405396
A2M,MYO10,0.5909289717674255
A2M,MYOZ3,0.349580854177475
A2M,NAPRT,0.5128293037414551
A2M,NAV1,0.630372166633606
A2M,NES,0.6024800539016724
A2M,NLRP1,0.5372108817100525
A2M,NOS3,0.5646284222602844
A2M,NOTCH1,0.6866238713264465
A2M,NOTCH4,0.7649180293083191
A2M,NOVA2,0.4698516130447387
A2M,NR3C1,0.6473994851112366
A2M,OSTM1,0.3357329070568084
A2M,PALMD,0.7626712322235107
A2M,PCDHB13,0.172511875629425
A2M,PCDHB15,0.1934659332036972
A2M,PCDHB16,0.2323476523160934
A2M,PDE10A,0.3866213858127594
A2M,PDGFB,0.5995309352874756
A2M,PEAR1,0.4909071326255798
A2M,PGAP1,0.2297863960266113
A2M,PICALM,0.6194018721580505
A2M,PIK3C2B,0.6333478093147278
A2M,PKD2,0.4938250482082367
A2M,PKIG,0.6394856572151184
A2M,PLCG1,0.3951500058174133
A2M,PLCG2,0.5970393419265747
A2M,PLD1,0.3601533770561218
A2M,PLEKHG2,0.4320249259471893
A2M,PLPP1,0.6715610027313232
A2M,PLS3,0.6709439158439636
A2M,PLXNA2,0.529400110244751
A2M,PLXND1,0.7188789248466492
A2M,PODXL,0.7102543711662292
A2M,PPARG,0.5514135956764221
A2M,PREX1,0.4092149436473846
A2M,PROCR,0.6091867685317993
A2M,PROS1,0.5443506240844727
A2M,PRRG1,0.3440379202365875
A2M,PSIP1,0.6579711437225342
